LokasiID,Komisi,SKPDKode,SKPDNama,UrusanKode,UrusanNama,ProgramKode,ProgramTeks,Kegiatan, Anggaran ,Vol,Satuan
3,1,1.20.179,Kelurahan Taman Sari - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan Sarana Posyandu,"25,000,000",8,paket
2,1,1.20.109,Kelurahan Sukapura - JAKUT,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan Tong Sampah,"90,000,000",600,Buah
3,1,1.20.156,Kelurahan Tanjung Duren Selatan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan sarana kebersihan,"80,000,000",69,paket
5,1,1.20.330,Kelurahan Pisangan Timur - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan Mesin Pencacah Sampah,"98,000,000",42,Unit
2,1,1.20.107,Kelurahan Pegangsaan Dua - JAKUT,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pembinaan Linmas,"118,000,000",1,Set
2,1,1.20.107,Kelurahan Pegangsaan Dua - JAKUT,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Sosialisasi 3 R,"15,000,000",1,Kali
3,1,1.20.142,Kelurahan Kedaung Kali Angke - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan alat marawis,"13,000,000",6,set
1,1,1.20.036,Kecamatan Senen - JAKPUS,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Perbaikan trotoar di Jl. KramatVI dan Kramat VII RW. 01 Kelurahan Kenari,"82,500,000",550,M2
5,1,1.20.291,Kecamatan Kramat Jati - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Pemeliharaan Saluran Air di RT. 011, 015, 016 / RW 04 Kelurahan Kampung Dukuh","50,000,000",1,Kegiatan
5,1,1.20.291,Kecamatan Kramat Jati - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pemeliharaan Saluran Air di RW. 03 Kelurahan Cililitan,"50,000,000",1,Kegiatan
3,1,1.20.121,Kecamatan Kebon Jeruk - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pengurasan saluran di Jl. H. Soleh I Rt.007/03(150mx0.5mx0.5m) Kelurahan sukabumi selatan,"25,000,000",238,M3
3,1,1.20.121,Kecamatan Kebon Jeruk - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pemeliharaan jalan dengan layer hotmix Jl. Pillar Rw.03 kelurahan kedoya Selatan,"35,776,500",170,M2
5,1,1.20.343,Kelurahan Cakung Timur - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pelatihan Ketrampilan dan Peningkatan SDM,"102,300,000",1,Paket
5,1,1.20.308,Kelurahan Bali Mester - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Peningkatan SDM Kader PKK dan Posyandu Kelurahan Bali Mester,"84,600,000",43,orang
